			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Lassítás	Lassítás	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Lassítás}

A Lassítás varázslat csökkenti a kiválasztott ellenséges egység sebességét a következõ képlet szerint (régi sebesség x 0,75); azaz egyszerûbben: csökkenti a kiválasztott egység sebességét 25%-kal az elõzõ sebességéhez képest. Eltávolítja a Gyorsítás hatást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Lassítás}

A Lassítás varázslat csökkenti a kiválasztott ellenséges egység sebességét a következõ képlet szerint (régi sebesség x 0,75); azaz egyszerûbben: csökkenti a kiválasztott egység sebességét 25%-kal az elõzõ sebességéhez képest. Eltávolítja a Gyorsítás hatást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Lassítás}

A Lassítás varázslat csökkenti a kiválasztott ellenséges egység sebességét a következõ képlet szerint (régi sebesség x 0,5+1); azaz egyszerûbben: csökkenti a kiválasztott egység sebességét 50%+1-gyel az elõzõ sebességéhez képest. Eltávolítja a Gyorsítás hatást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Lassítás}

A Lassítás varázslat csökkenti minden ellenséges egység sebességét a következõ képlet szerint (régi sebesség x 0,5+1); azaz egyszerûbben: csökkenti a kiválasztott egység sebességét 50%+1-gyel az elõzõ sebességéhez képest. Eltávolítja a Gyorsítás hatást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Mészárlás	Mészárlás	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Mészárlás}

A Mészárlás varázslat 8-cal növeli a kiválasztott barátságos egység támadási erejét Sárkányok, Behemótok, Hidrák, Tûzmadarak, Tengeri kígyók és Tollaskígyók ellen. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Mészárlás}

A Mészárlás varázslat 8-cal növeli a kiválasztott barátságos egység támadási erejét Sárkányok, Behemótok, Hidrák, Tûzmadarak, Tengeri kígyók és Tollaskígyók ellen. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Mészárlás}

A Mészárlás varázslat 8-cal növeli a kiválasztott barátságos egység támadási erejét Sárkányok, Behemótok, Hidrák, Tûzmadarak, Tengeri kígyók, Tollaskígyók, Ördögök és Angyalok ellen. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Mészárlás}

A Mészárlás varázslat 8-cal növeli a kiválasztott barátságos egység támadási erejét Sárkányok, Behemótok, Hidrák, Tûzmadarak, Tengeri kígyók, Tollaskígyók, Ördögök, Angyalok és Titánok ellen. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET
Dühöngés	Dühöngés	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Dühöngés}

A Dühöngés varázslat egy elme varázslat. A kiválasztott barátságos egység szándékosan 0-ra csökkenti a védelmét, hogy növelje támadási értékét. Így a támadóerõ bónusza megegyezik az egység korábbi védelmével. A varázslat azonnal érvénybe lép, és a legközelebbi fordulóig tart. Ezt követõen a varázslat hatása a következõ egység fordulójáig tart.
"	"{Alap Dühöngés}

A Dühöngés varázslat egy elme varázslat. A kiválasztott barátságos egység szándékosan 0-ra csökkenti a védelmét, hogy növelje támadási értékét. Így a támadóerõ bónusza megegyezik az egység korábbi védelmével. A varázslat azonnal érvénybe lép, és a legközelebbi fordulóig tart. Ezt követõen a varázslat hatása a következõ egység fordulójáig tart.
"	"{Haladó Dühöngés}

A Dühöngés varázslat egy elme varázslat. A kiválasztott barátságos egység szándékosan 0-ra csökkenti a védelmét, hogy növelje támadási értékét. Így a támadóerõ bónusza 1,5-szerese az egység korábbi védelmének. A varázslat azonnal érvénybe lép, és a legközelebbi fordulóig tart. Ezt követõen a varázslat hatása a következõ egység fordulójáig tart.
"	"{Mester Dühöngés}

A Dühöngés varázslat egy elme varázslat. A kiválasztott barátságos egység szándékosan 0-ra csökkenti a védelmét, hogy növelje támadási értékét. Így a támadóerõ bónusza 2-szerese az egység korábbi védelmének. A varázslat azonnal érvénybe lép, és a legközelebbi fordulóig tart. Ezt követõen a varázslat hatása a következõ egység fordulójáig tart.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titáni Csapás	Titáni Csapás	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Titáni Csapás}

A Titán Csapás varázslat 600 sérüléspontot okoz a kiválasztott egységen, ráadásul a varázslat nem használ fel varázspontot.
"	"{Titáni Csapás}

A Titán Csapás varázslat 600 sérüléspontot okoz a kiválasztott egységen, ráadásul a varázslat nem használ fel varázspontot.
"	"{Titáni Csapás}

A Titán Csapás varázslat 600 sérüléspontot okoz a kiválasztott egységen, ráadásul a varázslat nem használ fel varázspontot.
"	"{Titáni Csapás}

A Titán Csapás varázslat 600 sérüléspontot okoz a kiválasztott egységen, ráadásul a varázslat nem használ fel varázspontot.
"	
Visszatámadás	Visszatámadás	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Visszatámadás}

A Visszatámadás varázslattal a kiválasztott barátságos egységen azonnal kapunk egy további megtorló támadást, és minden kör elején kapunk egy további megtorló támadást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Visszatámadás}

A Visszatámadás varázslattal a kiválasztott barátságos egységen azonnal kapunk egy további megtorló támadást, és minden kör elején kapunk egy további megtorló támadást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Visszatámadás}

A Visszatámadás varázslattal a kiválasztott barátságos egységen azonnal kapunk két további megtorló támadást, és minden kör elején kapunk további két megtorló támadást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Visszatámadás}

A Visszatámadás varázslattal minden barátságos egységen azonnal kapunk két további megtorló támadást, és minden kör elején kapunk további két megtorló támadást. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Õrjöngés	Õrjöngés	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Õrjöngés}

Az Õrjöngés varázslat egy elme varázslat. A megcélzott egység véletlenszerûen megtámadja a legközelebbi egységet, legyen az barát vagy ellenség. A Hipnotizáló hatás eloszlik a célponttól. A varázslat hatása addig érvényes, amíg a célpont meg nem támad, különben az Õrjöngés varázslat idõtartama korlátlan.
"	"{Alap Õrjöngés}

Az Õrjöngés varázslat egy elme varázslat. A megcélzott egység véletlenszerûen megtámadja a legközelebbi egységet, legyen az barát vagy ellenség. A Hipnotizáló hatás eloszlik a célponttól. A varázslat hatása addig érvényes, amíg a célpont meg nem támad, különben az Õrjöngés varázslat idõtartama korlátlan.
"	"{Haladó Õrjöngés}

Az Õrjöngés varázslat egy elme varázslat. A megcélzott egység és vele szomszédos egység véletlenszerûen megtámadja a legközelebbi egységet, legyen az barát vagy ellenség. A Hipnotizáló hatás eloszlik a célponttól. A varázslat hatása addig érvényes, amíg a célpont meg nem támad, különben az Õrjöngés varázslat idõtartama korlátlan.
"	"{Mester Õrjöngés}

Az Õrjöngés varázslat egy elme varázslat. A megcélzott egység és minden 1 és 2 hexarácsra lévõ egység véletlenszerûen megtámadja a legközelebbi egységet, legyen az barát vagy ellenség. A Hipnotizáló hatás eloszlik a célponttól. A varázslat hatása addig érvényes, amíg a célpont meg nem támad, különben az Õrjöngés varázslat idõtartama korlátlan.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hipnotizálás	Hipnotizálás	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hipnotizálás}

A Hipnotizálás varázslat egy elme varázslat. A kiválasztott ellenséges egységet legfeljebb (Varázserõ x 25 + 10) életerõig ideiglenesen az irányításunk alá vonhatjuk. Eltávolítja az Õrjöngés hatását. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Hipnotizálás}

A Hipnotizálás varázslat egy elme varázslat. A kiválasztott ellenséges egységet legfeljebb (Varázserõ x 25 + 10) életerõig ideiglenesen az irányításunk alá vonhatjuk. Eltávolítja az Õrjöngés hatását. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Hipnotizálás}

A Hipnotizálás varázslat egy elme varázslat. A kiválasztott ellenséges egységet legfeljebb (Varázserõ x 25 + 20) eéleterõig ideiglenesen az irányításunk alá vonhatjuk. Eltávolítja az Õrjöngés hatását. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Hipnotizálás}

A Hipnotizálás varázslat egy elme varázslat. A kiválasztott ellenséges egységet legfeljebb (Varázserõ x 25 + 50) életerõig ideiglenesen az irányításunk alá vonhatjuk. Eltávolítja az Õrjöngés hatását. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Feledékenység	Feledékenység	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Feledékenység}

A Feledékenység varázslat egy elme varázslat. A kiválasztott ellenséges távolsági egység felét megakadályozza abban, hogy támadjon. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Feledékenység}

A Feledékenység varázslat egy elme varázslat. A kiválasztott ellenséges távolsági egység felét megakadályozza abban, hogy támadjon. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Feledékenység}

A Feledékenység varázslat egy elme varázslat. A kiválasztott ellenséges távolsági egység elfelejti használni a távolsági támadását a harcban. Az egység fele is elfelejti alkalmazni a közelharcot. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Feledékenység}

A Feledékenység varázslat egy elme varázslat. A kiválasztott összes ellenséges távolsági egység elfelejti használni a távolsági támadását a harcban. Az egység fele is elfelejti alkalmazni a közelharcot. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Vakítás	Vakítás	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Vakítás}

A Vakítás varázslat egy elme varázslat. Ideiglenes elvakítja a kiválasztott ellenséges egységet, hogy ne tudjon mozogni, és visszatámadni is csak a normál erejének a felével tud. A vakság mindaddig fennáll, amíg az egységet meg nem támadják vagy az Eloszlatás varázslatot nem alkalmazzák rajta. A varázslatnak nincs hatása az élõholtakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Vakítás}

A Vakítás varázslat egy elme varázslat. Ideiglenes elvakítja a kiválasztott ellenséges egységet, hogy ne tudjon mozogni, és visszatámadni is csak a normál erejének a felével tud. A vakság mindaddig fennáll, amíg az egységet meg nem támadják vagy az Eloszlatás varázslatot nem alkalmazzák rajta. A varázslatnak nincs hatása az élõholtakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Vakítás}

A Vakítás varázslat egy elme varázslat. Ideiglenes elvakítja a kiválasztott ellenséges egységet, hogy ne tudjon mozogni, és visszatámadni is csak a normál erejének negyedével tud. A vakság mindaddig fennáll, amíg az egységet meg nem támadják vagy az Eloszlatás varázslatot nem alkalmazzák rajta. A varázslatnak nincs hatása az élõholtakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Vakítás}

A Vakítás varázslat egy elme varázslat. Ideiglenes elvakítja a kiválasztott ellenséges egységet, hogy ne tudjon mozogni és visszatámadni sem. A vakság mindaddig fennáll, amíg az egységet meg nem támadják vagy az Eloszlatás varázslatot nem alkalmazzák rajta. A varázslatnak nincs hatása az élõholtakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleportálás	Teleportálás	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleportálás}

A Teleportálás varázslat bármely barátságos egységet elteleportál a csatatér bármely nem foglalt helyére. Eltávolítja az Ent Fapásztor megkötõ hatását. Az egység nem teleportálható a falakon vagy a várárkon kersztül.
"	"{Alap Teleportálás}

A Teleportálás varázslat bármely barátságos egységet elteleportál a csatatér bármely nem foglalt helyére. Eltávolítja az Ent Fapásztor megkötõ hatását. Az egység nem teleportálható a falakon vagy a várárkon kersztül.
"	"{Haladó Teleportálás}

A Teleportálás varázslat bármely barátságos egységet elteleportál a csatatér bármely nem foglalt helyére. Eltávolítja az Ent Fapásztor megkötõ hatását. Az egység nem teleportálható a falakon keresztül.
"	"{Mester Teleportálás}

A Teleportálás varázslat bármely barátságos egységet elteleportál a csatatér bármely nem foglalt helyére. Eltávolítja az Ent Fapásztor megkötõ hatását.
"	 COMBAT_SPELL|CREATURE_TARGET
Akadály Törlés	Akadály Törlés	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Akadály Törlés}

Az Akadály Törlés varázslat eltávolít minden normál, nem integrált akadályt (fák, sziklák stb.) a csatamezõrõl.
"	"{Alap Akadály Törlés}

Az Akadály Törlés varázslat eltávolít minden normál, nem integrált akadályt (fák, sziklák stb.) a csatamezõrõl.
"	"{Haladó Akadály Törlés}

Az Akadály Törlés varázslat eltávolít minden normál, nem integrált akadályt (fák, sziklák stb.), valamint a varázslattal elhelyezett Tûz Falat a csatamezõrõl.
"	"{Mester Akadály Törlés}

Az Akadály Törlés varázslat eltávolít minden normál, nem integrált vagy mágikus akadályt a csatamezõrõl.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Fantomkép	Fantomkép	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Fantomkép}

A Fantomkép varázslat létrehoz a kiválasztott barátságos egységrõl egy ideiglenes másolatot. A másolat eltûnik, ha azt megtámadják, vagy ha a prototípus akibõl másolták meghal. Minden egységnek csak egy Fantomképe lehet. A varázslat nem érinti a hadi gépeket. A Fantomkép a hõs varázserejének megfelelõ számú körig él. 1-5. szintû egységekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	"{Alap Fantomkép}

A Fantomkép varázslat létrehoz a kiválasztott barátságos egységrõl egy ideiglenes másolatot. A másolat eltûnik, ha azt megtámadják, vagy ha a prototípus akibõl másolták meghal. Minden egységnek csak egy Fantomképe lehet. A varázslat nem érinti a hadi gépeket. A Fantomkép a hõs varázserejének megfelelõ számú körig él. 1-5. szintû egységekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	"{Haladó Fantomkép}

A Fantomkép varázslat létrehoz a kiválasztott barátságos egységrõl egy ideiglenes másolatot. A másolat eltûnik, ha azt megtámadják, vagy ha a prototípus akibõl másolták meghal. Minden egységnek csak egy Fantomképe lehet. A varázslat nem érinti a hadi gépeket. A Fantomkép a hõs varázserejének megfelelõ számú körig él. 1-6. szintû egységekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	"{Mester Fantomkép}

A Fantomkép varázslat létrehoz a kiválasztott barátságos egységrõl egy ideiglenes másolatot. A másolat eltûnik, ha azt megtámadják, vagy ha a prototípus akibõl másolták meghal. Minden egységnek csak egy Fantomképe lehet. A varázslat nem érinti a hadi gépeket. A Fantomkép a hõs varázserejének megfelelõ számú körig él. Bármilyen szintû egységrõl készíthetõ Fantomkép ezzel a varázslattal.
"	 COMBAT_SPELL|CREATURE_TARGET
Tûz Elementál	Tûz Elementál	5			x		25	20	20	20	0	2	2	2	3	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Tûz Elementál Idézés}

A Tûz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Tûz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Tûz Elementálok a csata végéig szolgálnak majd.
"	"{Alap Tûz Elementál Idézés}

A Tûz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Tûz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Tûz Elementálok a csata végéig szolgálnak majd.
"	"{Haladó Tûz Elementál Idézés}

A Tûz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2,5) Tûz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Tûz Elementálok a csata végéig szolgálnak majd.
"	"{Mester Tûz Elementál Idézés}

A Tûz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 3) Tûz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Tûz Elementálok a csata végéig szolgálnak majd.
"	 COMBAT_SPELL
Föld Elementál	Föld Elementál	5	x				25	20	20	20	0	2	2	2	3	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Föld Elementál Idézés}

A Föld Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Föld Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Föld Elementálok a csata végéig szolgálnak majd.
"	"{Alap Föld Elementál Idézés}

A Föld Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Föld Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Föld Elementálok a csata végéig szolgálnak majd.
"	"{Haladó Föld Elementál Idézés}

A Föld Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2,5) Föld Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Föld Elementálok a csata végéig szolgálnak majd.
"	"{Mester Föld Elementál Idézés}

A Föld Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 3) Föld Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Föld Elementálok a csata végéig szolgálnak majd.
"	 COMBAT_SPELL
Víz Elementál	Víz Elementál	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Víz Elementál Idézés}

A Víz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Víz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Víz Elementálok a csata végéig szolgálnak majd.
"	"{Alap Víz Elementál Idézés}

A Víz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Víz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Víz Elementálok a csata végéig szolgálnak majd.
"	"{Haladó Víz Elementál Idézés}

A Víz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 3) Víz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Víz Elementálok a csata végéig szolgálnak majd.
"	"{Mester Víz Elementál Idézés}

A Víz Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 4) Víz Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Víz Elementálok a csata végéig szolgálnak majd.
"	 COMBAT_SPELL
Lég Elementál	Lég Elementál	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Lég Elementál Idézés}

A Lég Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Lég Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Lég Elementálok a csata végéig szolgálnak majd.
"	"{Alap Lég Elementál Idézés}

A Lég Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 2) Lég Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Lég Elementálok a csata végéig szolgálnak majd.
"	"{Haladó Lég Elementál Idézés}

A Lég Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 3) Lég Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Lég Elementálok a csata végéig szolgálnak majd.
"	"{Mester Lég Elementál Idézés}

A Lég Elementál Idézés varázslat lehetõvé teszi, hogy (Varázserõ x 4) Lég Elementált lehessen megidézni a csatatér szélének véletlenszerû helyén. A Lég Elementálok a csata végéig szolgálnak majd.
"	 COMBAT_SPELL
																																	
Egység képességek																																	
																																	
Kõvé dermesztés	Kõvé dermesztés	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Mérgezés	Mérgezés	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Földhöz Kötés	Földhöz Kötés	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Megbetegítés	Megbetegítés	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralizálás	Paralizálás	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Öregítés	Öregítés	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Halál Felhõ	Halál Felhõ	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Villámcsapás	Villámcsapás	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Segítõ Varázslatok Törlése	Segítõ Varázslatok Törlése	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Halálra Dermszetés	Halálra Dermszetés	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Savas Lehelet	Savas Lehelet	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
